Indicador,Nom_Districte,Total,Any
Evolución parque vehiculos1010,Sant Martí,740.2448979591836,2016
Evolución parque vehiculos1010,Sant Martí,746.8911564625851,2017
Evolución parque vehiculos1010,Sant Martí,754.5374149659864,2018
Evolución parque vehiculos1010,Sant Martí,751.3537414965987,2019
Evolución parque vehiculos1010,Sant Martí,760.8843537414966,2020
Evolución parque vehiculos1010,Sant Martí,757.2857142857143,2021
Evolución parque vehiculos11,Ciutat Vella,699.574074074074,2016
Evolución parque vehiculos11,Ciutat Vella,716.3888888888889,2017
Evolución parque vehiculos11,Ciutat Vella,749.9074074074074,2018
Evolución parque vehiculos11,Ciutat Vella,778.2777777777778,2019
Evolución parque vehiculos11,Ciutat Vella,787.6111111111111,2020
Evolución parque vehiculos11,Ciutat Vella,769.074074074074,2021
Evolución parque vehiculos22,Eixample,806.9826589595376,2016
Evolución parque vehiculos22,Eixample,809.0231213872833,2017
Evolución parque vehiculos22,Eixample,809.7109826589596,2018
Evolución parque vehiculos22,Eixample,798.2427745664739,2019
Evolución parque vehiculos22,Eixample,797.693641618497,2020
Evolución parque vehiculos22,Eixample,786.4797687861271,2021
Evolución parque vehiculos33,Sants-Montjuïc,747.1538461538462,2016
Evolución parque vehiculos33,Sants-Montjuïc,750.6923076923077,2017
Evolución parque vehiculos33,Sants-Montjuïc,761.9487179487179,2018
Evolución parque vehiculos33,Sants-Montjuïc,766.025641025641,2019
Evolución parque vehiculos33,Sants-Montjuïc,752.8034188034188,2020
Evolución parque vehiculos33,Sants-Montjuïc,740.8717948717949,2021
Evolución parque vehiculos44,Les Corts,932.6140350877193,2016
Evolución parque vehiculos44,Les Corts,917.1929824561404,2017
Evolución parque vehiculos44,Les Corts,923.8245614035088,2018
Evolución parque vehiculos44,Les Corts,912.0350877192982,2019
Evolución parque vehiculos44,Les Corts,898.0175438596491,2020
Evolución parque vehiculos44,Les Corts,883.1578947368421,2021
Evolución parque vehiculos55,Sarrià-Sant Gervasi,1096.3775510204082,2016
Evolución parque vehiculos55,Sarrià-Sant Gervasi,1100.1530612244899,2017
Evolución parque vehiculos55,Sarrià-Sant Gervasi,1104.6938775510205,2018
Evolución parque vehiculos55,Sarrià-Sant Gervasi,1095.765306122449,2019
Evolución parque vehiculos55,Sarrià-Sant Gervasi,1084.030612244898,2020
Evolución parque vehiculos55,Sarrià-Sant Gervasi,1069.938775510204,2021
Evolución parque vehiculos66,Gràcia,691.8735632183908,2016
Evolución parque vehiculos66,Gràcia,694.2988505747127,2017
Evolución parque vehiculos66,Gràcia,696.3448275862069,2018
Evolución parque vehiculos66,Gràcia,692.1724137931035,2019
Evolución parque vehiculos66,Gràcia,691.2873563218391,2020
Evolución parque vehiculos66,Gràcia,681.448275862069,2021
Evolución parque vehiculos77,Horta-Guinardó,681.3414634146342,2016
Evolución parque vehiculos77,Horta-Guinardó,685.4552845528456,2017
Evolución parque vehiculos77,Horta-Guinardó,691.8455284552846,2018
Evolución parque vehiculos77,Horta-Guinardó,687.2845528455284,2019
Evolución parque vehiculos77,Horta-Guinardó,684.5284552845528,2020
Evolución parque vehiculos77,Horta-Guinardó,678.3170731707318,2021
Evolución parque vehiculos88,Nou Barris,590.2051282051282,2016
Evolución parque vehiculos88,Nou Barris,597.1880341880342,2017
Evolución parque vehiculos88,Nou Barris,604.1111111111111,2018
Evolución parque vehiculos88,Nou Barris,602.8632478632478,2019
Evolución parque vehiculos88,Nou Barris,600.6837606837607,2020
Evolución parque vehiculos88,Nou Barris,594.2478632478633,2021
Evolución parque vehiculos99,Sant Andreu,710.2105263157895,2016
Evolución parque vehiculos99,Sant Andreu,715.1578947368421,2017
Evolución parque vehiculos99,Sant Andreu,727.5473684210526,2018
Evolución parque vehiculos99,Sant Andreu,732.5894736842105,2019
Evolución parque vehiculos99,Sant Andreu,729.421052631579,2020
Evolución parque vehiculos99,Sant Andreu,718.3684210526316,2021
Evolución parque vehiculosNo constaNo consta,No consta,1296.0,2016
Evolución parque vehiculosNo constaNo consta,No consta,1176.0,2017
Evolución parque vehiculosNo constaNo consta,No consta,243.0,2018
Evolución parque vehiculosNo constaNo consta,No consta,347.0,2019
Evolución parque vehiculosNo constaNo consta,No consta,415.0,2020
Evolución parque vehiculosNo constaNo consta,No consta,394.0,2021
